Metabolite,Hyd,avg,Category
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.4601N_2,1.29E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.4601N_3,0.001494484,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.412_1,0.205159114,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.412_2,0.046744321,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.466_2,0.072761209,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.466_3,0.086023398,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.412_3,0.22696396,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.466_1,0.08352054,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.503_2,0.028907381,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.503_3,0.007984383,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.555_1,0.025389892,Other
"(2z)-4,6-Dihydroxy-2-[(4-Hydroxy-3,5-Dimethoxyphenyl)Methylidene]-1-Benzofuran-3-One",HY.YEST.555_2,0.019805984,Other
