"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
10.456,"[M-H]-","Vanillic acid",7120,22475,146410,3529,4038,121133,21553,124996,10964,13020,8568,2634,12803,11340,8961,4758,10810,8488,8091,9154,17945,14991,4193,11721,6188,230909,229661,548947,186206,17784,6711
2.567,"[M-H]-","PYRIDOXINE",7988,272165,368510,17477,133546,193187,206096,208068,996090,826201,792226,720656,453811,591531,24900,533170,331140,424457,145482,294640,181450,169978,252262,216873,22891,149658,178609,126869,147253,161503,195516
1.66,"[M-H]-","rac-Glycerol 3-phosphoate; LC-ESI-QTOF; MS2; CE",17016,796798,879793,1834473,532384,399899,306791,307298,1949305,1263996,917406,638550,540236,758261,1311636,4183344,2635114,5830408,606197,1263887,1403933,866332,593660,897683,1568557,210351,170497,140555,126589,465601,390934
11.244,"[M-H]-","P-Toluenesulfonic acid",120563,352268,444484,213534,151374,618522,271499,688729,1283488,238152,554861,444209,133189,121504,204138,411025,1167868,908668,384547,319150,200537,185240,227551,571222,186039,220104,207139,274000,193289,130066,149948
1.842,"[M-H]-","1,4-Cyclohexanedicarboxylic acid",32001,2532668,2388923,87340,17958524,686154,623835,644393,3873199,4330284,3432769,2540951,2748236,3145468,59594,1357821,1463422,1643498,551471,642635,425944,453347,253596,455644,46791,2010411,1916423,1853037,1806871,18985470,20188517
5.364,"[M-H]-","N-Acetylleucine",7103,2129039,1697642,19052,249789,454422,530177,450282,9430097,79464030,2846494,1022866,4110214,1761756,22272,2226258,1563232,3005068,212928,226199,698816,1057697,687716,1509570,21665,210882,1004655,59444,1062414,549754,419688
5.656,"[M-H]-","N-Acetylleucine",8448,13883187,12429727,213757,475190,3517322,4197284,2536486,44627001,928236,20098447,16886532,35541549,576121,193838,4311990,2885623,4512516,17127223,11409841,4318440,2206443,1471439,3106872,216363,1075658,1004655,788571,1062414,549754,419688
6.325,"[M-H]-","N-Acetylleucine",8680,300291,298580,30085,84902,575423,577788,751397,831225,10160778,801757,1032432,317365,12414156,35880,112165,87228,149738,366374,255145,93067,56876,56044,74323,9146,316908,404866,269055,346499,124882,110289
3.025,"[M-H]-","Aconitic Acid",2393,16061780,15719668,8556197,1922974,3620494,4325249,3369448,6672038,8234268,7364670,6049080,15541836,8443672,9176277,19500939,18481277,26396813,20696896,25992850,1816621,12198835,7003111,10917378,6210743,16736219,14530689,14307299,10454627,2254497,1790198
2.006,"[M-H]-","Gly-Val",61456,66914462,58785496,7869956,111994544,27899800,26255929,30324133,36021268,51681094,38181627,55808424,55078875,64097089,9389754,64981720,68269541,56100316,12532533,13959004,14237259,11104490,10580042,18822574,9053370,52025749,39707816,53041712,47865160,95625025,109321355
